International non-proprietary name (INN)-8-mg/4ml-Dosage form,Proprietary (Trade) name,Prescribing level,Pre-AuthorizationProtocol
Urea (topical) 0.1/Topical,URECARE 0.1 % 30 gm cream,طبيب أسرة,No
Panthenol (topical) 5/Topical,PANTHENOL 5% 20 gm cream,طبيب أسرة,No
Panthenol (topical) NA/Topical,NEUTRI SOFT 30 gm cream,طبيب أسرة,No
Sodium Bicarbonate 7.7/0.8/1.375 Vaginal,VAGYL Powder 10 sachets vaginal wash,طبيب أسرة,No
Benzydamine 0.5/0.1Vaginal wash,Tantum Rose powder vaginal douch 5 sachets,طبيب أسرة,No
Chlorohexidine + Hexamidine + Chlorocresol 0.5/0.1/0.3 Vaginal,DOUCHEAL 250 ml Vaginal wash,طبيب أسرة,No
Benzydamine 50.000 mg/gm/Topical,Tantum 0.05%20 gm gel ,طبيب أسرة,No
Polikrezulen 90/Vaginal,MONILIARRET 90 mg 6 Vaginal Supp,طبيب أسرة,No
Polikrezulen 90/Vaginal,MONILIARRET 90 mg 3 Vaginal Supp,طبيب أسرة,No
Povidone iodine 7.5/Topical,UCCMADINE 7.5% 200ml Skin Cleanser solution ,طبيب أسرة,No
Povidone iodine 10/Topical,BETADINE 10 % 60 gm Ointment,طبيب أسرة,No
Azithromycin 10/Ophthalmic,Rame-Zithro  1% 2.5 ml eye drops,طبيب أسرة,No
Ciprofloxacin 0.3/Ophthalmic,CIPROCIN 0.3% 5 gm eye ointment,أخصائي,No
Ciprofloxacin 3/Ophthalmic,Ciprocin 0.3% 5ml eye drops,أخصائي,No
Ciprofloxacin 3/Ophthalmic,Ciprofar 0.3% 5ml eye drops,أخصائي,No
Ciprofloxacin 3/Ophthalmic,Polyvision 0.3% 5ml eye drops,أخصائي,No
Chloramphenicol + Dexamethasone Sodium + Tetrahydrozoline Hydrochloride  0.5/0.1/0.025 Ophthalmic,OCUPHENICOL-D 5ml eye drops,طبيب أسرة,No
Chloramphenicol + Dexamethasone Sodium + Tetrahydrozoline Hydrochloride  5/1/0.25 Ophthalmic,ORCHADEXOLINE 5 ml eye drops,طبيب أسرة,No
Chloramphenicol 1/Ophthalmic,EPIPHENICOL 1% 5 gm eye ointment,طبيب أسرة,No
Fusidic acid 10/Ophthalmic,Ofusidic 1% 5 gm eye drops,طبيب أسرة,No
Gentamicin 3/Ophthalmic/Otic,OPTIGENT 0.3% 5ml eye/ear drops,طبيب أسرة,No
Gentamicin 0.3/Ophthalmic,OPTIGENT 0.3% 5gm eye/ear ointment,طبيب أسرة,No
Gatifloxacin 3/Ophthalmic,GATIGRAND 0.3% 5ml eye drops,أخصائي,No
Gatifloxacin 3/Ophthalmic,Gatyxel 0.3 %  5ml  eye drops,أخصائي,No
Moxifloxacin 5/Ophthalmic,Moxidegrin 0.5% 5ml eye drops,أخصائي,No
Moxifloxacin 5/Ophthalmic,VIGAMOX 0.5% 5ml eye drops ,أخصائي,No
Ofloxacin 3/Ophthalmic,QUIFLURO 0.3%  5ml eye drops,طبيب أسرة,No
Ofloxacin 3/Ophthalmic,Ofloswix 0.3% 5ml  eye drops,طبيب أسرة,No
Sulfacetamide 150/Ophthalmic,ISOPTO CETAMIDE 1.5% 15ml eye drops,أخصائي,No
Tobramycin 300/Ophthalmic,Tobrin 0.3% 5 gm eye ointment ,طبيب أسرة,No
Tobramycin 0.3/Ophthalmic,T GRAND 0.3% 5 ml eye drops,طبيب أسرة,No
Oxytetracycline + Polymyxin 5/10000Ophthalmic,OXY-POL 0.5% 5 gm eye ointment,طبيب أسرة,No
Dexamethasone 1/Ophthalmic,EPIDEXONE 0.1% 5ml eye Drops,طبيب أسرة,No
Prednisolone 10/Ophthalmic,PHARMA PRED 1% 5ml eye drops,طبيب أسرة,No
Prednisolone 10/Ophthalmic,ORCHAPRED 1% 5ml eye drops,طبيب أسرة,No
Prednisolone 1/Ophthalmic,PRED FORTE 1% 5ml eye drops,طبيب أسرة,No
Bromfenac 0.9/Ophthalmic,Bromoflam 0.09% 5 ml eye drops,طبيب أسرة,No
Diclofenac 1/Ophthalmic,Epifenac 0.1% 5ml eye drops,طبيب أسرة,No
Ketotifen 0.25/Ophthalmic,Rednott eye 0.025% 5ml eye drops,طبيب أسرة,No
Ketotifen 0.25/Ophthalmic,Orchazid 0.025% 10 ml eye drops,طبيب أسرة,No
Ketotifen 0.25/Ophthalmic,Orchazid 0.025% 30 single unit dose eye drops,طبيب أسرة,No
Benoxinate 0.4/Ophthalmic,BENOX 0.4% mg  10 ml eye drops,طبيب أسرة,No
Acetazolamide 250/Orally,CIDAMEX 250  mg 20 tab. ,أخصائي,No
Acetazolamide 250/Orally,CIDAMEX 250  mg 10 tab. ,أخصائي,No
Betaxolol 5/Ophthalmic,BETOPTIC 0.5% 5ml eye drops,أخصائي,Protocol
Timolol 1/Ophthalmic,Timogel 0.1% 5 gm eye gel ,أخصائي,Protocol
Timolol 5/Ophthalmic,Timolol 0.5% BP 2022 5ml eye drops,أخصائي,Protocol
Latanoprost 0.05/Ophthalmic,Latanoswix 0.5% 2.5ml eye drops,استشاري,Protocol
Latanoprost 50/Ophthalmic,Ioprost 0.5% 3ml eye drops,استشاري,Protocol
Latanoprost 50/Ophthalmic,XALATAN  0.5% 2.5ml eye drops,استشاري,Protocol
Travoprost 0.004/Ophthalmic,TRAVATAN 0.004% 2.5ml eye drops,استشاري,Protocol
Bimatoprost 0.3/Ophthalmic,BIMATOSWIX 0.03%  3 ml eye drops,استشاري,Protocol
Brimonidine 2/Ophthalmic,PHARMAPRESS  0.2% 5ml eye drops,استشاري,Protocol
Brimonidine 1.5/Ophthalmic,ALPHANOVA 0.15% mg 5ml eye drops,استشاري,Protocol
Brimonidine 1.5/Ophthalmic,ALPHAGAN P0.15% 5ml eye drops,استشاري,Protocol
Brinzolamide 10/Ophthalmic,AZOPT 1% 5ml eye drops,أخصائي,Protocol
Dorzolamide 20/Ophthalmic,QUEENZOLAMIDE 2% 5ml eye drops,استشاري,Protocol
Dorzolamide 20/Ophthalmic,Ozolamide 2% 5ml eye drops,استشاري,Protocol
Timolol + Brimonidine 5/2Ophthalmic,ALPHANOVA PLUS 5ml eye drops,استشاري,Protocol
Timolol + Brimonidine 5/2Ophthalmic,BRIMODROPS 5ml eye drop,استشاري,Protocol
Timolol + Brimonidine 5/2Ophthalmic,COMBIGAN 5 ml eye drops,استشاري,Protocol
Timolol + Dorzolamide 5/20Ophthalmic,COMBILOW 5 ml eye drops,استشاري,Protocol
Timolol + Dorzolamide 5/20Ophthalmic,TWINZOL 5 ml eye drops,استشاري,Protocol
Timolol + Dorzolamide 5/20Ophthalmic,TWINZOL 0.2 ml single unit dose eye drops,استشاري,Protocol
Timolol + Brinzolamide 5/10Ophthalmic,Azarga 5 ml eye drops,استشاري,Protocol
Timolol + Latanoprost 5/50Ophthalmic,XALACOM 2.5 ml eye drops,استشاري,Protocol
Timolol + Travoprost 5/0.04Ophthalmic,Tekliva Plus 2.5 ml eye drops,استشاري,Protocol
Timolol + Travoprost 5/0.04Ophthalmic,Travonorm Plus 3 ml eye drops,استشاري,Protocol
Timolol + Travoprost 5/0.04Ophthalmic,Duotrav 2.5 ml  eye drops,استشاري,Protocol
Timolol + Bimatoprost 5/0.3Ophthalmic,Ganfort 3 ml eye drop,استشاري,Protocol
Atropine derivative 10/Ophthalmic,Atropine Sulphate 1% 10 ml eye drops,أخصائي,No
Cyclopentolate 10/Ophthalmic,SWIXOLATE 1% 10 ml eye drops,أخصائي,No
Cyclopentolate 10/Ophthalmic,Plegica 1% 10 ml eye drops,أخصائي,No
Tropicamide 5/Ophthalmic,Mydrapid 0.5% 10 ml eye drops,أخصائي,No
Tropicamide 10/Ophthalmic,Mydrapid 1% 10ml eye drops,أخصائي,No
Cyclopentolate + Phenylephrine 10/100Ophthalmic,CYCLOPHRINE 5 ml eye drops,أخصائي,No
Alcaftadine 2.5/Ophthalmic,Alcaftrapro 0.25% 3 ml eye drops,أخصائي,No
Epinastine 0.5/Ophthalmic,OCUSEELLERGE 0.05% 5ml eye drops 5 ml,أخصائي,No
Epinastine + Dextran 0.5/1Ophthalmic,Optest 5ml eye drops,أخصائي,No
Olopatadine 1/Ophthalmic,Conjyclear 0.1% 5ml eye drops,أخصائي,No
"Naphazoline + Chlorpheniramine 0.5/0.5Ophthalmic, Nasal",SWIXOLINE 15 ml eye/nose drops ,طبيب أسرة,No
"Naphazoline + Chlorpheniramine 0.5/0.5Ophthalmic, Nasal",Nostamine 15 ml eye/nose drops,طبيب أسرة,No
Tetrahydrozoline 0.05/Ophthalmic,OCCUZOLINE 0.05% 10 ml eye drops 10 ml,طبيب أسرة,No
Tetrahydrozoline + Fluorometholone 0.25/1Ophthalmic,Efemyo 10 mleye drops,طبيب أسرة,No
Tetrahydrozoline + Zinc sulfate 0.5/2.5Ophthalmic,Visine A.C 15 ml eye drops,طبيب أسرة,No
Naphazoline + Diphenhydramine + Zinc Sulphate 100/100/100 Ophthalmic,OCUMETHYL 10 ml eye drops,طبيب أسرة,No
Tetryzoline + Antazoline 0.4/0.5Ophthalmic,TRILLERG 10 mml eye drops,طبيب أسرة,No
Polyvidone 50/Ophthalmic,ORCHATEARS PLUS 15 ml eye drops,طبيب أسرة,No
Hydroxymethylcellulose + Dextran 3/1Ophthalmic,Normo-Tears 15 ml eye drops,طبيب أسرة,No
Hydroxy Propyl methyl celllulose 0.3/Ophthalmic,TEARSGUARD 0.3% 15 ml eye drops,طبيب أسرة,No
Hydroxymethylcellulose + Dextran + Benzalkonium Chloride 3/1/0.1 Ophthalmic,TEARS NATURALE 15 ml eye drops,طبيب أسرة,No
Retinol Palmitate 10/Ophthalmic,CORNETEARS 0.01% 10 gm eye gel,طبيب أسرة,No
Neomycin + Dexamethasone + Polymyxin 3.5/1/6000 Ophthalmic,DEXAGRAND 5 ml  eye drops,طبيب أسرة,No
Neomycin + Dexamethasone + Polymyxin 5/1/6000 Ophthalmic,DEXATROL 5 gm Eye oint,طبيب أسرة,No
Tobramycin + Dexamethasone 1/3Ophthalmic,DEXATOBRIN 5 gm eye ointment ,طبيب أسرة,No
Tobramycin + Dexamethasone 1/3Ophthalmic,Tobradex 3.5 gm eye ointment ,طبيب أسرة,No
Tobramycin + Dexamethasone 1/3Ophthalmic,T-GRAND PLUS 10 ml eye drops,طبيب أسرة,No
Tobramycin + Dexamethasone 1/3Ophthalmic,Tobradex 5 ml eye drops,طبيب أسرة,No
Ofloxacin + Dexamethasone 3/1Ophthalmic,Duoeffectum 10 ml eye drops,طبيب أسرة,No
Moxifloxacin  + Dexamethasone 5/1Ophthalmic,Fortymox Plus 5 ml eye drops,أخصائي,No
Doxazosin 1/Orally,Dosin 1 mg 20 tab.,طبيب أسرة,No
Doxazosin 1/Orally,Dosin 1 mg 10 tab.,طبيب أسرة,No
Doxazosin 1/Orally,CARDURA 1 mg 21 tab.,طبيب أسرة,No
Doxazosin 1/Orally,CARDURA 1 mg 7 tab.,طبيب أسرة,No
Doxazosin 4/Orally,Dosin 4 mg 20 tab.,طبيب أسرة,No
Doxazosin 4/Orally,Dosin 4 mg 10 tab.,طبيب أسرة,No
Doxazosin 4/Orally,DOXAZIN 4 mg 10 tab.,طبيب أسرة,No
Doxazosin 4/Orally,CARDURA 4mg 14 tab.,طبيب أسرة,No
Doxazosin 4/Orally,CARDURA 4mg 7 tab.,طبيب أسرة,No
Doxazosin 4/Orally,Cardura XL 4 mg 28 tab.,طبيب أسرة,No
Doxazosin 4/Orally,Cardura XL 4 mg 7 tab,طبيب أسرة,No
Finasteride 5/Orally,Finastura 5 mg 30 tab.,أخصائي,No
Finasteride 5/Orally,Finastura 5 mg 10 tab.,أخصائي,No
Finasteride 5/Orally,PROSTRIDE 5 mg 30 cap.,أخصائي,No
Finasteride 5/Orally,PROSTRIDE 5 mg 10 cap.,أخصائي,No
Finasteride 5/Orally,ROYALSTERIDE 5 mg. 30 tab.,أخصائي,No
Finasteride 5/Orally,ROYALSTERIDE 5 mg 10 tab.,أخصائي,No
Finasteride 5/Orally,ROYALSTERIDE 5 mg. 20 tab.,أخصائي,No
Finasteride 5/Orally,PROSCAR 5 mg. 28 tab.,أخصائي,No
Finasteride 5/Orally,PROSCAR 5 mg. 14 tab.,أخصائي,No
Dutasteride 0.5/Orally,BENGIRIDE 0.5 mg. 30 tab.,أخصائي,No
Dutasteride 0.5/Orally,BENGIRIDE 0.5 mg. 10 tab.,أخصائي,No
Dutasteride 0.5/Orally,Avodart 0.5 mg 30 cap,أخصائي,No
Dutasteride 0.5/Orally,Avodart 0.5 mg 10 cap,أخصائي,No
Tamsulosin 0.4/Orally,Curepro XR 0.4 mg 10 cap,طبيب أسرة,No
Tamsulosin 0.4/Orally,Curepro XR 0.4 mg 30 cap,طبيب أسرة,No
Tamsulosin 0.4/Orally,TAMSULIN 0.4 mg 28 cap,طبيب أسرة,No
Tamsulosin 0.4/Orally,TAMSULIN 0.4 mg 14 cap,طبيب أسرة,No
Tamsulosin 0.4/Orally,OMNIC OCAS 0.4 mg 30 tab.,طبيب أسرة,No
Tamsulosin 0.4/Orally,OMNIC OCAS 0.4 mg 10 tab.,طبيب أسرة,No
Tamsulosin + Solifenacin 0.37/4.5Orally,Tamsulin plus 10 tab.,أخصائي,No
Tamsulosin + Solifenacin 0.37/4.5Orally,Tamsulin plus 20 tab.,أخصائي,No
Tamsulosin + Dutasteride 0.4/0.5Orally,DUODART 0.5/0.4 mg 30 cap.,أخصائي,No
Ichthammol + Potassium iodide + Hamamelis 0.15/0.025/0.1 Rectal,DECONGESTYL 12 supp,طبيب أسرة,No
Ichthammol + Potassium iodide + Hamamelis 0.15/0.025/0.1 Rectal,DECONGESTYL 6 supp,طبيب أسرة,No
Anethole trithione + Borneol + Pinene 24.8/10/4 Orally,URINEX 24 cap,طبيب أسرة,No
Anethole trithione + Borneol + Pinene 24.8/10/4 Orally,URINEX 12 cap,طبيب أسرة,No
Anethole trithione + Borneol + Pinene 24.8/10/4 Orally,ROWATINEX 45 cap,طبيب أسرة,No
Anethole trithione + Borneol + Pinene 24.8/10/4 Orally,ROWATINEX 15 cap,طبيب أسرة,No
Magnesium citrate 0.255/0.05/1.56 Orally,CITROCID MAGNESIUM PLUS eff. granules 12 sachets,طبيب أسرة,No
Piperazine + Khellin + Hexamine 3/10/35 Orally,COLI-URINAL 60 gm eff. granules,طبيب أسرة,No
Piperazine + Khellin + Hexamine 190/500/1.83 Orally,RENAL-S 12 sachets eff. granules,طبيب أسرة,No
Khellin + Cymbopogon 0.1/20Orally,Kellagon eff. granules 10 sachets ,طبيب أسرة,No
Halphabarol 0.4/Orally,PROXIMOL 0.4 mg 40 tab.,طبيب أسرة,No
Halphabarol 0.4/Orally,PROXIMOL 0.4 mg 20 tab.,طبيب أسرة,No
Flavoxate 200/Orally,GENURIN 200 mg 30 tab,طبيب أسرة,No
Flavoxate 200/Orally,GENURIN 200 mg 10 tab,طبيب أسرة,No
Flavoxate 183/Orally,Nephroflam 200 mg 30 tab,طبيب أسرة,No
Flavoxate 183/Orally,Nephroflam 200 mg 10 tab,طبيب أسرة,No
Oxybutynin 5/Orally,"DETRONIN 5 mg /5ml 120 ml Syrup
",طبيب أسرة,No
Oxybutynin 5/Orally,OXYBIN 5 mg/5ml  120 ml syrup,طبيب أسرة,No
Oxybutynin 5/Orally,URIPAN 5 mg 30 tab,طبيب أسرة,No
Oxybutynin 5/Orally,URIPAN 5 mg 10 tab,طبيب أسرة,No
Oxybutynin 10/Orally,Uripan XR 10 mg 30 tab,طبيب أسرة,No
Oxybutynin 10/Orally,Uripan XR 10 mg 10 tab,طبيب أسرة,No
Solifenacin 5/Orally,Sofenacin 5 mg 30 tab.,أخصائي,No
Solifenacin 5/Orally,Sofenacin 5 mg 10 tab.,أخصائي,No
Solifenacin 5/Orally,URGINAFECT 5 mg 20 tab.,أخصائي,No
Solifenacin 5/Orally,URGINAFECT 5 mg 10 tab.,أخصائي,No
Solifenacin 5/Orally,Solfinurin 5 mg 10 tab,أخصائي,No
Solifenacin 5/Orally,Vesicare 5 mg 30 tab. ,أخصائي,No
Solifenacin 5/Orally,Vesicare 5 mg 10 tab. ,أخصائي,No
Solifenacin 10/7.5Orally,Sofenacin 10 mg 20 tab.,أخصائي,No
Solifenacin 10/7.5Orally,Sofenacin 10 mg 10 tab.,أخصائي,No
Solifenacin 10/Orally,Urginafect 10 mg 10 tab.,أخصائي,No
Solifenacin 10/Orally,Urginafect 10 mg 20 tab.,أخصائي,No
Solifenacin 10/Orally,Solfinurin 10 mg 10 tab,أخصائي,No
Solifenacin 10/Orally,Vesicare 10 mg 30 tab.,أخصائي,No
Solifenacin 10/Orally,Vesicare 10 mg 10 tab.,أخصائي,No
Vitamin A (Retinol Palmitate) 50000/Orally,A-Viton 20 cap.,طبيب أسرة,No
Cyanocobalamin 1/I.M,Emicobal B 12  1 mgml 2 amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Emicobal B 12  1 mg/ml amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Longavit B12 1 mgml 3 amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Longavit B12 1 mg ml amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Rubivamin  B 12 1 mgml 5 amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Rubivamin  B 12 1 mg/ml  amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Ecavit B12 1 mgml 1 amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Macrovital  B 12 1 mgml 1 amp ,طبيب أسرة,No
Cyanocobalamin 1/I.M,Cobalamin Depot  B 12 1 mg/ml 2 amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Cobalamin Depot  B 12 1 mg/ml 5 amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,Cobalamin Depot  B 12 1 mg/ml amp,طبيب أسرة,No
"Cyanocobalamin 1/I.M, I.V, I.V infusion",Depofort B12 1 mg/ml 2 amp,طبيب أسرة,No
"Cyanocobalamin 1/I.M, I.V, I.V infusion",Depofort B12 1 mg/ml 5 amp,طبيب أسرة,No
"Cyanocobalamin 1/I.M, I.V, I.V infusion",Depofort B12 1 mg/ml amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,BETOLVEX 1 mg/ml 2 amp,طبيب أسرة,No
Cyanocobalamin 1/I.M,BETOLVEX 1 mg/ml amp,طبيب أسرة,No
"Vitamin B complex 10/5.47/40 I.M, I.V, I.V infusion",BECORENZ 2 ml 3 amp,طبيب أسرة,No
"Vitamin B complex 10/5.47/40 I.M, I.V, I.V infusion",BECORENZ 2 ml amp,طبيب أسرة,No
"Vitamin B complex 10/5.47/40 I.M, I.V",B-COM 2 ml 6 amp,طبيب أسرة,No
"Vitamin B complex 10/5.47/40 I.M, I.V",B-COM 2 ml amp,طبيب أسرة,No
Vitamin B complex 100/100/1 I.M,POLY-B-BION 3 ml 3 amp.,طبيب أسرة,No
Vitamin B complex 100/100/1 I.M,POLY-B-BION 3 ml amp.,طبيب أسرة,No
Vitamin B complex 100/100I.M,TRI B  3 amp,طبيب أسرة,No
Vitamin B complex 5/2/20 Orally,EPICOZYM 125 ml syrup,طبيب أسرة,No
Cyanocobalamin 1/Sublingual,Deltavit B12 1mg 30  tab,طبيب أسرة,No
Cyanocobalamin 1000/Orally,Methyltechno 1000 mcg 20 oral film,طبيب أسرة,No
Cyanocobalamin 1000/Orally,Methyltechno 1000 mcg 30 oral film,طبيب أسرة,No
Cyanocobalamin 1000/Orally,Methyltechno 1000 mcg 1 oral film,طبيب أسرة,No
Vitamin B complex 250/150/15 Orally,Neurovit 30 tab,طبيب أسرة,No
Vitamin B complex 250/150/15 Orally,Neurovit 10 tab,طبيب أسرة,No
Vitamin B complex 40/60/0.25 Orally,MILGA 40 tab,طبيب أسرة,No
Vitamin B complex 40/60/0.25 Orally,MILGA 10 tab,طبيب أسرة,No
Vitamin B complex 0.5/150/0.25 Orally,NEUROTON 30 tab,طبيب أسرة,No
Vitamin B complex 0.5/150/0.25 Orally,NEUROTON 10 tab,طبيب أسرة,No
Vitamin C (Asorbic Acid) 500/Orally,C-Viton 500 mg 20 tab.,أخصائي,No
Vitamin C (Asorbic Acid) 500/Orally,C-Viton 500 mg 10 tab.,أخصائي,No
Vitamin C (Asorbic Acid) 1000/Orally,ASCORBACIL 1000 mg 10 caplet,أخصائي,No
Vitamin C (Asorbic Acid) 1000/Orally,ASCORBACIL 1000 mg 100 caplet,أخصائي,No
Alfacalcidol 0.25/Orally,Bone care 0.25mcg  30 cap.,أخصائي,Protocol
Alfacalcidol 0.25/Orally,Bone care 0.25mcg  10 cap.,أخصائي,Protocol
Alfacalcidol 0.25/Orally,BON-ONE 0.25mcg 30 tab,أخصائي,Protocol
Alfacalcidol 0.25/Orally,BON-ONE 0.25mcg 10 tab,أخصائي,Protocol
Alfacalcidol 0.5/Orally,BONE CARE 0.5mcg 30 cap.,أخصائي,Protocol
Alfacalcidol 0.5/Orally,BONE CARE 0.5mcg 10 cap.,أخصائي,Protocol
Alfacalcidol 0.5/Orally,BON-ONE 0.5 mcg 30 tab,أخصائي,Protocol
Alfacalcidol 0.5/Orally,BON-ONE 0.5 mcg 10 tab,أخصائي,Protocol
Alfacalcidol 1/Orally,BONE CARE 1mcg 30 cap.,أخصائي,Protocol
Alfacalcidol 1/Orally,BONE CARE 1mcg 10 cap.,أخصائي,Protocol
Alfacalcidol 1/Orally,ONE ALPHA 1 mcg 30 cap.,أخصائي,Protocol
Alfacalcidol 1/Orally,ONE ALPHA 1 mcg 10 cap.,أخصائي,Protocol
Alfacalcidol 0.002/Orally,Alfacalcidol 2 mcg /ml 10 ml oral drops,أخصائي,Protocol
Alfacalcidol 0.002/Orally,ALFABONID 2 mcg/ml 10 ml oral drops ,أخصائي,Protocol
Alfacalcidol 0.002/Orally,Alfacalcidol 2 mcg/ml 20 ml oral drops,أخصائي,Protocol
Alfacalcidol 0.002/Orally,ALFABONID 2 mcg/ml 20 ml oral drops,أخصائي,Protocol
 Vitamin D3 (Cholecalciferol) 5/I.M,Davalindi 5 mg/ml amp.,أخصائي,Protocol
" Vitamin D3 (Cholecalciferol) 200/I.M, Orally",Decapreno 200 mgml amp,أخصائي,Protocol
" Vitamin D3 (Cholecalciferol) 200/I.M, Orally",Decapreno 200 mgml 2 amp,أخصائي,Protocol
 Vitamin D3 (Cholecalciferol) 2800/Orally,VIDROP 2800 IU/ml 15 ml oral drops,طبيب أسرة,Protocol
 Vitamin D3 (Cholecalciferol) 2800/Orally,Nutritru-d baby's 400 iu/ml 10ml oral drops,طبيب أسرة,Protocol
 Vitamin D3 (Cholecalciferol) 10000/Orally,Bonefit 10.000 IU /ml 15 ml oral drops ,طبيب أسرة,Protocol
 Vitamin D3 (Cholecalciferol) 10000/Orally,Diviton-D Forte 10.000 IU /ml 20 ml oral drops,طبيب أسرة,Protocol
 Vitamin D3 (Cholecalciferol) 1000/Orally,Davalindi 1000 I.U. 100 tab,أخصائي,Protocol
 Vitamin D3 (Cholecalciferol) 2000/Orally,Vedipex 2000 I.U 30 tab,أخصائي,Protocol
 Vitamin D3 (Cholecalciferol) 10000/10000Orally,Davalindi 10000 IU 30 tab,أخصائي,Protocol
 Vitamin D3 (Cholecalciferol) 10000/Orally,Devart D3 10000 I.U 30  tab,أخصائي,Protocol
 Vitamin D3 (Cholecalciferol) 10000/Orally,Immuno-Mash D 10000 I.U 30 tab,أخصائي,Protocol
 Vitamin D3 (Cholecalciferol) 10000/Orally,Sanso D3 10000 I.U 30 tab,أخصائي,Protocol
Vitamin D2 (Ergocalciferol) 10000/Orally,Ossofortin 0.25 mg 30 tab.,أخصائي,Protocol
Vitamin D2 (Ergocalciferol) 10000/Orally,Ossofortin 0.25 mg 10 tab.,أخصائي,Protocol
Vitamin E 400/Orally,VITAMIN E 400 mg  24 cap.,أخصائي,No
Vitamin E 400/Orally,VITAMIN E 400 mg  12 cap.,أخصائي,No
Vitamin E 400/Orally,Vitamin E forte 400 mg. 20 cap,أخصائي,No
Vitamin E 400/Orally,Vitamin E forte 400 mg. 10 cap,أخصائي,No
Vitamin E 1000/Orally,TOCO 1000 mg 20 cap,أخصائي,No
Folic acid 0.5/Orally,FOLICAP 0.5 mg 24 cap.,طبيب أسرة,No
Folic acid 0.5/Orally,FOLICAP 0.5 mg 12cap.,طبيب أسرة,No
Folic acid 0.8/Orally,Folic 0.8 mg 50 tab.,طبيب أسرة,No
Folic acid 0.8/Orally,Folic 0.8 mg 10 tab.,طبيب أسرة,No
Folic acid 5/Orally,Folic Acid-pharo pharma 5 mg 20 tab,طبيب أسرة,No
Folic acid 5/Orally,Folic Acid-pharo pharma 5 mg 10 tab,طبيب أسرة,No
Folic acid 5/Orally,Folic Acid-EL NILE 5 mg 50 tab.,طبيب أسرة,No
Folic acid 5/Orally,Folic Acid-EL NILE 5 mg 30 tab.,طبيب أسرة,No
Folic acid 5/Orally,Folic Acid-EL NILE 5 mg 10 tab.,طبيب أسرة,No
Folic acid 5/Orally,Folic Acid-EPICO USP 44 5 mg 20 tab,طبيب أسرة,No
Folic acid 5/Orally,Folic Acid-EPICO USP 44 5 mg 10 tab,طبيب أسرة,No
Iron 10/Orally,Golden Fer 50 mg/5ml 100 ml syrup,طبيب أسرة,Protocol
Iron 50/Orally,Haemopower 50 mg/ml 30 ml oral drops,طبيب أسرة,Protocol
Iron 50/Orally,HYDROFERRIN 50 mg/ml 30 ml oral drops,طبيب أسرة,Protocol
Iron 50/Orally,ENRICH 50 mg/ml 30 ml oral drops,طبيب أسرة,Protocol
Iron 35/Orally,Glucofer 35 mg. 60 tab,طبيب أسرة,Protocol
Iron 35/Orally,Glucofer 35 mg. 10 tab,طبيب أسرة,Protocol
Iron 567.7/Orally,HIHAEM 567.7 mg 30 cap,طبيب أسرة,Protocol
Iron 567.7/Orally,HIHAEM 567.7 mg 10 cap,طبيب أسرة,Protocol
Iron 100/I.M,Haemopower 100 mg/2ml 5 amp,أخصائي,Protocol
Iron 100/I.M,Haemopower 100 mg/2ml amp,أخصائي,Protocol
"Iron 100/I.V,I.M",Haemojet 100 mg/2ml 3 amp,أخصائي,Protocol
"Iron 100/I.V,I.M",Haemojet 100 mg/2ml 6 amp,أخصائي,Protocol
"Iron 100/I.V,I.M",Haemojet 100 mg/2ml amp,أخصائي,Protocol
"Iron 100/I.V,I.M",Fercayl 100 mg2ml 5 amp,أخصائي,Protocol
"Iron 100/I.V,I.M",Fercayl 100 mg2ml amp,أخصائي,Protocol
Calcium + Cholecalciferol 50/2000/100 Orally,CALCIVIT D3 120 ml syrup,طبيب أسرة,Protocol
Calcium 1500/250Orally,PHAROCAL 500 mg 10 tab.,طبيب أسرة,Protocol
Calcium 1500/250Orally,PHAROCAL 500 mg 30 tab.,طبيب أسرة,Protocol
Calcium 500/Orally,Oracal 500 mg 30 tab.,طبيب أسرة,Protocol
Calcium 500/Orally,Oracal 500 mg 10 tab.,طبيب أسرة,Protocol
Calcium 1000/Orally,MARCAL 1000 mg 30 tab.,طبيب أسرة,Protocol
Calcium 1000/Orally,MARCAL 1000 mg 10 tab.,طبيب أسرة,Protocol
Calcium 640/Orally,Cal-preg 640 mg. 30 tab.,طبيب أسرة,Protocol
Calcium 640/Orally,Cal-preg 640 mg 10 tab.,طبيب أسرة,Protocol
Calcium + Magnesium 665/540Orally,Cal-mag 30 tab.,أخصائي,Protocol
Calcium + Magnesium 665/540Orally,Cal-mag 10 tab.,أخصائي,Protocol
Calcium + Magnesium + Zinc + Vitamin D3 5/400/150 Orally,OSTEOCARE 30 tab.,طبيب أسرة,Protocol
Calcium + Magnesium + Zinc + Vitamin D3 5/400/150 Orally,OSTEOCARE 10 tab.,طبيب أسرة,Protocol
